q1,q2,q3,q4,q5,x,y,z,1
0.0,0.0,0.0,0.0,0.0,52.8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0943951023931953,-26.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.1887902047863905,-26.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.283185307179586,52.8,0.0,0.0,0.0
0.0,0.0,0.0,1.0471975511965976,0.0,26.4,0.0,0.0,0.0
0.0,0.0,0.0,1.0471975511965976,2.0943951023931953,-13.2,0.0,0.0,0.0
0.0,0.0,0.0,1.0471975511965976,4.1887902047863905,-13.2,0.0,0.0,0.0
0.0,0.0,0.0,1.0471975511965976,6.283185307179586,26.4,0.0,0.0,0.0
0.0,0.0,0.0,2.0943951023931953,0.0,-26.4,0.0,0.0,0.0
0.0,0.0,0.0,2.0943951023931953,2.0943951023931953,13.2,0.0,0.0,0.0
0.0,0.0,0.0,2.0943951023931953,4.1887902047863905,13.2,0.0,0.0,0.0
0.0,0.0,0.0,2.0943951023931953,6.283185307179586,-26.4,0.0,0.0,0.0
0.0,0.0,0.0,3.141592653589793,0.0,-52.8,0.0,0.0,0.0
0.0,0.0,0.0,3.141592653589793,2.0943951023931953,26.4,0.0,0.0,0.0
0.0,0.0,0.0,3.141592653589793,4.1887902047863905,26.4,0.0,0.0,0.0
0.0,0.0,0.0,3.141592653589793,6.283185307179586,-52.8,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,0.0,0.0,18.059,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,0.0,2.0943951023931953,-9.029,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,0.0,4.1887902047863905,-9.029,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,0.0,6.283185307179586,18.059,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,1.0471975511965976,0.0,9.029,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,1.0471975511965976,2.0943951023931953,-4.515,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,1.0471975511965976,4.1887902047863905,-4.515,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,1.0471975511965976,6.283185307179586,9.029,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,2.0943951023931953,0.0,-9.029,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,2.0943951023931953,2.0943951023931953,4.515,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,2.0943951023931953,4.1887902047863905,4.515,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,2.0943951023931953,6.283185307179586,-9.029,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,3.141592653589793,0.0,-18.059,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,3.141592653589793,2.0943951023931953,9.029,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,3.141592653589793,4.1887902047863905,9.029,0.0,0.0,0.0
0.0,0.0,1.2217304763960306,3.141592653589793,6.283185307179586,-18.059,0.0,0.0,0.0
0.0,0.0,2.443460952792061,0.0,0.0,-40.447,0.0,0.0,0.0
0.0,0.0,2.443460952792061,0.0,2.0943951023931953,20.224,0.0,0.0,0.0
0.0,0.0,2.443460952792061,0.0,4.1887902047863905,20.224,0.0,0.0,0.0
